

#
# critical paths
#
# Path 1 (delay: 330.164)
#node                  mu      std
#---------------------------------
G13                28.000    3.000
G55                48.000    4.243
G61                85.030    5.196
G65               118.095    7.945
G63               159.095    8.895
G112              196.068    9.387
G108              216.068    9.854
G78               262.068   10.301
G106              293.164   11.047
G102              330.164   11.447
#---------------------------------

# Path 2 (delay: 292.077)
#node                  mu      std
#---------------------------------
G13                28.000    3.000
G55                48.000    4.243
G61                85.030    5.196
G65               118.095    7.945
G63               159.095    8.895
G112              196.068    9.387
G108              216.068    9.854
G110              256.068   10.301
G107              292.077   10.486
#---------------------------------

# Path 3 (delay: 287.068)
#node                  mu      std
#---------------------------------
G13                28.000    3.000
G55                48.000    4.243
G61                85.030    5.196
G65               118.095    7.945
G63               159.095    8.895
G112              196.068    9.387
G108              216.068    9.854
G97               249.068   11.537
G92               287.068   12.211
#---------------------------------

# Path 4 (delay: 286.068)
#node                  mu      std
#---------------------------------
G13                28.000    3.000
G55                48.000    4.243
G61                85.030    5.196
G65               118.095    7.945
G63               159.095    8.895
G112              196.068    9.387
G108              216.068    9.854
G116              249.068   11.537
G113              286.068   11.921
#---------------------------------

# Path 5 (delay: 286.068)
#node                  mu      std
#---------------------------------
G13                28.000    3.000
G55                48.000    4.243
G61                85.030    5.196
G65               118.095    7.945
G63               159.095    8.895
G112              196.068    9.387
G108              216.068    9.854
G101              249.068   11.537
G98               286.068   11.921
#---------------------------------
#
