

#
# critical paths
#
# Path 1 (delay: 405.220)
#node                  mu      std
#---------------------------------
G42                28.000    3.000
G328               48.000    4.243
G109               96.269    6.561
G266              129.539    5.689
G264              170.539    6.954
G260              207.778    7.538
G259              248.778    8.534
G83               286.066    9.051
G87               333.066   10.108
G101              365.220   11.271
G102              405.220   11.663
#---------------------------------
#
